order_id;order_number;order_date;paid_date;status;shipping_total;shipping_tax_total;fee_total;fee_tax_total;tax_total;cart_discount;order_discount;discount_total;order_total;order_key;order_currency;payment_method;payment_method_title;transaction_id;customer_ip_address;customer_user_agent;shipping_method;customer_id;customer_user;customer_email;billing_first_name;billing_last_name;billing_company;billing_email;billing_phone;billing_address_1;billing_address_2;billing_postcode;billing_city;billing_state;billing_country;shipping_first_name;shipping_last_name;shipping_company;shipping_phone;shipping_address_1;shipping_address_2;shipping_postcode;shipping_city;shipping_state;shipping_country;customer_note;wt_import_key;shipping_items;fee_items;tax_items;coupon_items;refund_items;order_notes;download_permissions;line_item_1;"Product Item 1 Name";"Product Item 1 id";"Product Item 1 SKU";"Product Item 1 Quantity";"Product Item 1 Total";"Product Item 1 Subtotal"
434;434;"2023-06-26 12:46:58";;processing;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;220.00;wc_order_plYglTxhyLswv;INR;cod;"Cash on delivery";;192.168.0.128;"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36";"Free shipping";1;1;pavan@glasier.in;ddc;dcccv;;contactest@yopmail.com;7771860654;dcsc;;380015;dfff;GJ;IN;ddc;dcccv;;;dcsc;;380015;dfff;GJ;IN;;434;"items:Product Demo 2 &times; 2|method_id:free_shipping|taxes:a:1:{s:5:""total"";a:0:{}}";;;;;"content:Payment to be made upon delivery. Order status changed from Pending payment to Processing.|date:2023-06-26 12:46:59|customer:|added_by:system";1;"name:Product Demo 2|product_id:37|sku:|quantity:2|total:220.00|sub_total:220.00";"Product Demo 2";37;;2;220.00;220.00
459;459;"2023-07-03 15:59:21";;processing;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;200.00;wc_order_LsJxEczsWGemL;INR;cod;"Cash on delivery";;192.168.0.128;"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36";"Free shipping";1;1;pavan@glasier.in;ddc;dcccv;;contactest@yopmail.com;7771860654;dcsc;;380015;dfff;GJ;IN;ddc;dcccv;;;dcsc;;380015;dfff;GJ;IN;;459;"items:Product Demo 1 &times; 1|method_id:free_shipping|taxes:a:1:{s:5:""total"";a:0:{}}";;;;;"content:Payment to be made upon delivery. Order status changed from Pending payment to Processing.|date:2023-07-03 15:59:22|customer:|added_by:system";1;"name:Product Demo 1|product_id:26|sku:|quantity:1|total:200.00|sub_total:200.00";"Product Demo 1";26;;1;200.00;200.00
460;460;"2023-07-03 18:29:01";;processing;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;440.00;wc_order_pNM0ZkuPb0oZF;INR;cod;"Cash on delivery";;192.168.0.128;"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36";"Free shipping";1;1;pavan@glasier.in;ddc;dcccv;;contactest@yopmail.com;7771860654;dcsc;;380015;dfff;GJ;IN;ddc;dcccv;;;dcsc;;380015;dfff;GJ;IN;;460;"items:Product Demo 2 &times; 4|method_id:free_shipping|taxes:a:1:{s:5:""total"";a:0:{}}";;;;;"content:Payment to be made upon delivery. Order status changed from Pending payment to Processing.|date:2023-07-03 18:29:01|customer:|added_by:system";1;"name:Product Demo 2|product_id:37|sku:|quantity:4|total:440.00|sub_total:440.00";"Product Demo 2";37;;4;440.00;440.00
461;461;"2023-07-04 12:02:04";;processing;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;110.00;wc_order_2Ijdwwf8VDRZW;INR;cod;"Cash on delivery";;192.168.0.128;"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36";"Free shipping";1;1;pavan@glasier.in;ddc;dcccv;;contactest@yopmail.com;7771860654;dcsc;;380015;dfff;GJ;IN;ddc;dcccv;;;dcsc;;380015;dfff;GJ;IN;;461;"items:Product Demo 2 &times; 1|method_id:free_shipping|taxes:a:1:{s:5:""total"";a:0:{}}";;;;;"content:Payment to be made upon delivery. Order status changed from Pending payment to Processing.|date:2023-07-04 12:02:05|customer:|added_by:system";1;"name:Product Demo 2|product_id:37|sku:|quantity:1|total:110.00|sub_total:110.00";"Product Demo 2";37;;1;110.00;110.00
466;466;"2023-07-04 13:53:36";;processing;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;110.00;wc_order_nMHtY6mCdgtyS;INR;cod;"Cash on delivery";;192.168.0.128;"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36";"Free shipping";1;1;pavan@glasier.in;ddc;dcccv;;contactest@yopmail.com;7771860654;dcsc;;380015;dfff;GJ;IN;ddc;dcccv;;;dcsc;;380015;dfff;GJ;IN;;466;"items:Product Demo 2 &times; 1|method_id:free_shipping|taxes:a:1:{s:5:""total"";a:0:{}}";;;;;"content:Payment to be made upon delivery. Order status changed from Pending payment to Processing.|date:2023-07-04 13:53:37|customer:|added_by:system";1;"name:Product Demo 2|product_id:37|sku:|quantity:1|total:110.00|sub_total:110.00";"Product Demo 2";37;;1;110.00;110.00
467;467;"2023-07-04 14:22:51";;processing;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;110.00;wc_order_3Avpl2wXbQnXs;INR;cod;"Cash on delivery";;192.168.0.128;"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36";"Free shipping";1;1;pavan@glasier.in;ddc;dcccv;;contactest@yopmail.com;7771860654;dcsc;;380015;dfff;GJ;IN;ddc;dcccv;;;dcsc;;380015;dfff;GJ;IN;;467;"items:Product Demo 2 &times; 1|method_id:free_shipping|taxes:a:1:{s:5:""total"";a:0:{}}";;;;;"content:Payment to be made upon delivery. Order status changed from Pending payment to Processing.|date:2023-07-04 14:22:52|customer:|added_by:system";1;"name:Product Demo 2|product_id:37|sku:|quantity:1|total:110.00|sub_total:110.00";"Product Demo 2";37;;1;110.00;110.00
468;468;"2023-07-04 14:35:18";;cancelled;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;110.00;wc_order_Jt5fNjSfASZoi;INR;razorpay;"Credit Card/Debit Card/NetBanking";;192.168.0.128;"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36";"Free shipping";1;1;pavan@glasier.in;ddc;dcccv;;contactest@yopmail.com;1234567890;dcsc;;380015;dfff;GJ;IN;ddc;dcccv;;;dcsc;;380015;dfff;GJ;IN;;468;"items:Product Demo 2 &times; 1|method_id:free_shipping|taxes:a:1:{s:5:""total"";a:0:{}}";;;;;"content:Unpaid order cancelled - time limit reached. Order status changed from Pending payment to Cancelled.|date:2023-07-04 15:45:27|customer:|added_by:system";0;"name:Product Demo 2|product_id:37|sku:|quantity:1|total:110.00|sub_total:110.00";"Product Demo 2";37;;1;110.00;110.00
469;469;"2023-07-04 17:54:23";;cancelled;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;330.00;wc_order_QFGBT1kTCXN73;INR;razorpay;"Credit Card/Debit Card/NetBanking";;192.168.0.128;"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36";"Free shipping";0;0;;ddc;dcccv;;contactest@yopmail.com;1234567890;dcsc;;380015;dfff;CH;IN;ddc;dcccv;;;dcsc;;380015;dfff;CH;IN;;469;"items:Product Demo 2 &times; 3|method_id:free_shipping|taxes:a:1:{s:5:""total"";a:0:{}}";;;;;"content:Unpaid order cancelled - time limit reached. Order status changed from Pending payment to Cancelled.|date:2023-07-05 09:14:51|customer:|added_by:system";0;"name:Product Demo 2|product_id:37|sku:|quantity:3|total:330.00|sub_total:330.00";"Product Demo 2";37;;3;330.00;330.00
499;499;"2023-07-05 09:54:35";;cancelled;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;110.00;wc_order_BcHn5eECVTtkV;INR;paytm;"Paytm Payment Gateway";;192.168.0.128;"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36";"Free shipping";1;1;pavan@glasier.in;ddc;dcccv;;contactest@yopmail.com;1234567890;dcsc;;380015;dfff;GJ;IN;ddc;dcccv;;;dcsc;;380015;dfff;GJ;IN;;499;"items:Product Demo 2 &times; 1|method_id:free_shipping|taxes:a:1:{s:5:""total"";a:0:{}}";;;;;"content:Unpaid order cancelled - time limit reached. Order status changed from Pending payment to Cancelled.|date:2023-07-05 11:17:38|customer:|added_by:system";0;"name:Product Demo 2|product_id:37|sku:|quantity:1|total:110.00|sub_total:110.00";"Product Demo 2";37;;1;110.00;110.00
521;521;"2023-07-06 17:59:33";;cancelled;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;110.00;wc_order_eQJBrD4eubm7O;INR;paytm;"Paytm Payment Gateway";;192.168.1.18;"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36";"Free shipping";1;1;pavan@glasier.in;ddc;dcccv;;contactest@yopmail.com;1234567890;dcsc;;380015;dfff;GJ;IN;ddc;dcccv;;;dcsc;;380015;dfff;GJ;IN;;521;"items:Product Demo 2 &times; 1|method_id:free_shipping|taxes:a:1:{s:5:""total"";a:0:{}}";;;;;"content:Unpaid order cancelled - time limit reached. Order status changed from Pending payment to Cancelled.|date:2023-07-07 09:27:58|customer:|added_by:system";0;"name:Product Demo 2|product_id:37|sku:|quantity:1|total:110.00|sub_total:110.00";"Product Demo 2";37;;1;110.00;110.00
